"idno","Admin Agency","email","url","year","approp_title","fund_code","eligibility","bond_sale_date","bond_series_number","amount_of_bond","category","subcategory","county","state_amount","chapter_section","reversion_date","valid_encumbrance_amount","expended_amount","aipp_amount_bof","reversion_amount","appropriation_balance","last_update","icip_project_number","icip_priority_number","local_fiscal_agent","amount_obligated","project_end_date","expended_amount_state","aipp_amount","reauth_of_balance_to_new","reauth_to_project_number","reversion_amount_two","project_status","goal_milestone_last_quarter","goal_milestone_next_quarter","project_phase","current_balance","last_agency_update","last_submission_date","expended_amount_local","current_balance_local","project_status_local","project_phase_local","goal_milestone_last_quarter_local","goal_milestone_next_quarter_local","valid_contracts_in_place","no_activity_for_month","last_submission_date_local","last_update_local"
"13-1204","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1204","2013","BERNALILLO SENIOR CTR CONSTRUCT","SEVERANCE TAX BONDS","","7/23/13","STB13A","250000","Local","Senior Citizens","Sandoval","250000","226 /  5/44","6/30/17","0","14912","0","0","235088","5/26/15 0:00","","/","29000 - Sandoval County","0","***","7456","2500","0","","0","Grant agreement fully executed. Requested new scope of work. The county will plan and design a new building. Currently working on bid process. Town of Bernalillo approved a location site, will be able to proceed now 9.22.14 MC.//Currently working on bid process. Meeting with Architect and Town of Bernalillo on 10/7/14. Survey, utilities, soil test being scheduled. Waiting for reimbursement. 11.18.14.MC//  10% Programming by A&E firm complete.  12.8.14 RM// Currently working on bid process. Meeting with Architect and Town of Bernalillo on 10/7/14. Survey, utilities, soil test being scheduled. Received reimbursement. Paid for design and fees for basic services. Waiting for check to clear to request 2nd reimbursement. 1.20.15.MC// NOO issued AMEC Foster Wheeler $5701.07 3/6/15 RM //","Bid process is underway.  Location still pending approval from the town.  NOO issued for Greet Stafford/SJCF Architecture $167,305,  NOO issued for Terra Land Surveys, Inc. LLC $7,596.08; NOO issued AMEC Foster Wheeler $5701.07","Work with grantee to complete design and seek additional funds needed for the construction of the facility","0210 - Project in Design","240044","5/26/15 0:00","3/16/15 0:00","28208","221792","On-going project.  Struggling to get invoices for payment for soil test.","","Approval for Architect.","To get approval from the Town of Bernalillo.","TRUE","FALSE","5/18/15 0:00","5/19/15 0:00"
"13-1640","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1640","2013","ALB PETROGLYPH LITTLE LEAGUE SCOREBOARDS","SEVERANCE TAX BONDS","","7/23/13","STB13A","30000","Local","Community Facilities","Bernalillo","30000","226 / 31/ 35","6/30/16","0","29638","0","0","362","5/26/15 0:00","","/","02100 - Albuquerque","0","***","29638","0","0","","0","2/7/14 - Reviewed file - No apparent activity since grant execution on 10/17/13 - SL
02/13/2014 -Have not received 3rd party Obligation from Grantee 

  0150-Grant Agreement Issued    10/17/2013","","","0150 - Grant Agreement Issued","362","1/20/15 15:45","1/20/15 15:45","29638","362","Po888986 Gardenswartz  13,612.96.  PO886081 B D Electric  16,024.56","","Scoreboards purchased and installed","Project closeout","TRUE","FALSE","2/18/15 0:00","2/18/15 0:00"
"13-1443","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1443","2013","MELROSE WATER SYSTEM IMPROVE","SEVERANCE TAX BONDS","","7/23/13","STB13A","100000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Curry","100000","226 / 23/12","6/30/17","0","79902","0","0","20098","5/26/15 0:00","15579","2015 / 001","05003 - Melrose","0","***","79902","0","0","","0","3/13/15: Phase 1 was constructed by Desert Paving and Utility.  Design is being prepared for phase 2. (AP)","All project closeout documents were submitted to CPB.","Village will begin next phase of water system improvements.","0210 - Project in Design","20098","5/26/15 0:00","3/16/15 0:00","65725","34275","Completion:  June 12, 2014","","Construction complete","Close out; final payment","FALSE","TRUE","1/7/15 0:00","1/7/15 0:00"
"13-1506","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1506","2013","MAGDALENA WATER SYSTEM IMPROVE","SEVERANCE TAX BONDS","HEALTH/SAFETY/W","6/24/14","2014A","50830","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Socorro","50830","226 / 23/78","6/30/17","0","0","0","0","50830","5/26/15 0:00","1","2014 / 1","25001 - Magdalena","0","***","0","0","0","","0","2-12-15 grant agreement executed with the South Central Council of Governments serving as the fiscal agent. 3-4-15 revised preliminary engineering report (PER) commented on.","Grant agreement executed","Complete PER prioritizing water system improvements","0175 - Project Planning","50830","5/26/15 0:00","3/16/15 0:00","0","50830","Currently working with Engineer to develop scope of work for bidding purposes","","Recently contracted with South Central Council of Governments to be the fiscal agent on this project","To solicit quotes for project","TRUE","FALSE","4/29/15 0:00","4/29/15 0:00"
"13-1466","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1466","2013","RUIDOSO SEWER REPLACEMENT PHASE 2","SEVERANCE TAX BONDS","","7/23/13","STB13A","180000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Lincoln","180000","226 / 23/35","6/30/17","0","180000","0","0","0","5/26/15 0:00","26112","2012 / 02","26004 - Ruidoso","0","***","180000","0","0","","0","Bonds sold at July 2013 bond sale. Grant Agreement mailed 9-5-13 to Grantee. Bonds were sold July 18th, 2013.  Grant agreements will be mailed out to the village September 2013. The grant agreement was executed on October 8, 2013.","The village executed Task Order #5 for CH2 M Hill Engineers, Inc. to prepare design.","CH2M Hill Engineers, Inc. will prepare design.","0240 - Project Complete","0","5/26/15 0:00","3/20/14 0:00","180000","0","The engineering contract has been signed, notice to proceed was issued and the contractor has started surveying and soil sample work. Requested Reimbursement 3/7/13","","Funding Received, Grant Agreement Executed, Request for Reimbursement 3/7/14","To fully expend this appropriation for engineering.","TRUE","TRUE","1/1/00 0:00","3/7/14 0:00"
"13-1569","Office of the State Engineer","mailto:curtis.eckhart@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1569","2013","LOS RANCHOS DE ATRISCO ACEQUIA IMPROVE","SEVERANCE TAX BONDS","","***","","0","Local","Acequias & Dams (rivers, conservation)","Bernalillo","20000","226 / 29/ 1","6/30/17","0","0","0","0","0","5/26/15 0:00","","/","02000 - Bernalillo County","0","***","0","0","20000","14-2250","0","Funds reauthorize to Local Government","","","REAUT - Funds reauthorized for another","0","5/26/15 0:00","6/9/14 0:00","0","0","","","","","","","",""
"13-1313","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1313","2013","HAWTHORNE ELEM SCHL INFO TECH PURCHASE","SEVERANCE TAX BONDS","","7/23/13","STB13A","10000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","10000","226 / 18/ 64","6/30/16","0","9964","0","36","0","5/26/15 0:00","","2013 /","02112 - Albuquerque Public Schools","0","***","9964","0","0","","36","complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","9964","36","Expended Amount:9,963.78 Revert:36.22","","Expended Amount: $9,963.78","Project Closed","TRUE","FALSE","8/28/14 0:00","8/28/14 0:00"
"10-1143","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=10-1143","2010","ALTS ROSWELL-HAGERMAN SENIOR CTRS VEHICLES","GENERAL OBLIGATION BONDS","","4/19/11","GOB11","102600","","","Chaves","102600","10-Mar","6/30/14","0","84685","0","17915","0","5/26/15 0:00","","/","04000 - Chaves County","0","***","84685","0","0","","17915","The county completed the purchase of the vehicles and requested that 17,915 be reverted.","Project is closed","Project is closed and remaining funds reverted","0250 - Project Closed","0","5/26/15 0:00","12/16/14 0:00","84685","17915","Project closed. Final request 9/7/12.","","","","FALSE","TRUE","11/30/12 0:00","11/30/12 0:00"
"12-1406","Interstate Stream Commission","","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1406","2012","ACEQUIA DEL MONTE DEL RIO CHIQUITO COMPUERTAS","SEVERANCE TAX BONDS","","6/21/12","STB12A","56000","Local","Acequias & Dams (rivers, conservation)","Taos","56000","64 / 15/ 22","6/30/16","0","56000","0","0","0","5/26/15 0:00","","/","01000 - Santa Fe County","0","***","56000","0","0","","0","Fully expended.","","","0250 - Project Closed","0","5/26/15 0:00","6/4/14 0:00","0","0","","","","","","","",""
"13-1902","New Mexico State University","mailto:walke@ad.nmsu.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=13-1902","2013","NMSU DONA ANA CMTY COLLEGE INFO TECH INFRA","SEVERANCE TAX BONDS","","7/23/13","STB13A","50000","HED","Higher Education (facilities, equipment)","Dona Ana","50000","226 / 42/ 5","6/30/17","0","49850","0","0","150","5/26/15 0:00","","/","99983 - New Mexico State University-Dona Ana","0","***","50000","0","0","","0","09/13/2013 - Project is in the planning stages.  No funds have been obligated or expended.
12/18/13 - All equipment purchases have been completed for the equipment information technology infrastructure improvements at DACC. All funds will be expended by January 31, 2014. Project installation and completion is set to take place by February 2014 unless delays should arise. 6/23/14- Project is complete.","","","0245 - Purchase Complete","0","5/26/15 0:00","9/13/13 0:00","0","0","","","","","","","",""
